speaker,title,photo
Amanda Perino,Master of Ceremonies,input/2022/images/emcees/Amanda Perino.jpg
Kyle Ruddy,Master of Ceremonies,input/2022/images/emcees/Kyle Ruddy.jpg
Alex Schenck,Master of Ceremonies,input/2022/images/emcees/Alex Schenck.jpg
Ciara Clements,Master of Ceremonies,input/2022/images/emcees/Ciara Clements.jpg
Kerim Satirli,Master of Ceremonies,input/2022/images/emcees/Kerim Satirli.jpg
Lucy Davinhart,Master of Ceremonies,input/2022/images/emcees/Lucy Davinhart.png
Rob Barnes,Master of Ceremonies,input/2022/images/emcees/Rob Barnes.jpg
Pato Arvizu,Master of Ceremonies,input/2022/images/emcees/Pato Arvizu.jpg
Mehdi Laruelle,Master of Ceremonies,input/2022/images/emcees/Mehdi Laruelle.jpg
J. Cole Morrison,Master of Ceremonies,input/2022/images/emcees/Cole Morrison.png
Melissa Gurney Greene,Master of Ceremonies,input/2022/images/emcees/Melissa Gurney Greene.jpeg
