speaker,title,date,time,photo
Adriana Villela | Lightstep,How to Nomadify Your Kubernetes Manifests,"February 16, 2023",20:55,input/2023/images/Adriana_Villela.jpg
Alain Chiasson | Bell,Securing Vault Agent in an Existing Windows Environment,"February 17, 2023",6:15,input/2023/images/Alain_Chiasson.jpg
Allessandria Polizzi | Verdant Consulting,Hidden Hazards: Unique Burnout Risks in Tech,"February 16, 2023",19:45,input/2023/images/Allessandria_Polizzi.jpg
Andrei Buzoianu | IT Consultant,Exploring and Provisioning Infrastructure with Packer,"February 17, 2023",9:55,input/2023/images/Andrei_Buzoianu.jpg
Anubhav Mishra | HashiCorp,Scaling HashiCorp's Writing Culture with Internal Tooling,"February 16, 2023",23:55,input/2023/images/Anubhav_Mishra.png
Bervianto Leo Pratama | Mitrais,Getting Started with Minikube in Vagrant,"February 17, 2023",3:05,input/2023/images/Bervianto_Leo_Pratama.jpg
Bram Vogelaar | seaplane.io,Writing Your First Waypoint Deploy Plugin,"February 16, 2023",14:35,input/2023/images/Bram_Vogelaar.png
Du'An Lightfoot | AWS,Scale Your Cloud Network to Infinity and Beyond,"February 16, 2023",15:05,input/2023/images/DuAn_Lightfoot.png
Elif Samedin | Senior DevOps Engineer,Exploring and Provisioning Infrastructure with Packer,"February 17, 2023",9:55,input/2023/images/Elif_Samedin.jpg
Elijah Voigt | Lob.com,Replatforming with Minimal Drama and Downtime,"February 16, 2023",14:05,input/2023/images/Elijah_Voigt.jpg
Fokke Dekker | Seaplane IO,Writing Your First Waypoint Deploy Plugin,"February 16, 2023",14:35,input/2023/images/Fokke_Dekker.jpg
Hillol Habib Un Nabi | INGKA Group,Building an Agnostic Security Solution with HashiCorp Vault,"February 17, 2023",7:45,input/2023/images/Hillol_Habib_Un_Nabi.png
Jacob Mammoliti | PwC Canada,Multi-Cloud WAN Federation with Consul and Kubernetes,"February 16, 2023",18:15,input/2023/images/Jacob_Mammoliti.jpg
Japneet Sahni | Arctiq,Zero Trust Security with Boundary and Vault,"February 16, 2023",13:35,input/2023/images/Japneet_Sahni.jpg
Jonathann Zenou | Windward,How Terraform Helps Us Catch Bad Guys at Sea,"February 16, 2023",12:05,input/2023/images/Jonathann_Zenou.jpg
Josh Armitage | Contino,Behavior Driven Development Helps Shift Security Left,"February 17, 2023",4:05,input/2023/images/Josh_Armitage.png
Josh Freda | HashiCorp,Scaling HashiCorp's Writing Culture with Internal Tooling,"February 16, 2023",23:55,input/2023/images/Josh_Freda.jpg
Kalam Abdul | Insight,Credential Injection with Boundary and Vault,"February 17, 2023",1:05,input/2023/images/Kalam_Abdul.jpg
Kartik Lunkad | HashiCorp,Secure Developer Workflows with Vault & Github Actions,"February 16, 2023",21:55,input/2023/images/Kartik_Lunkad.jpg
Lays Rodrigues | Pagar.me,Terraform: Don't Reinvent the Modules,"February 16, 2023",16:15,input/2023/images/Lays_Rodrigues.jpg
Lev Andelman | Terasky,Back to the Future: Service Mesh for Legacy Software,"February 17, 2023",10:25,input/2023/images/Lev_Andelman.png
Martin Smith | HashiCorp,When You're in Command of the Incident,"February 17, 2023",8:15,input/2023/images/Martin_Smith.png
Michael Greenlaw | HanaByte,Vault and Boundary - Managing Secrets at Home,"February 16, 2023",19:15,input/2023/images/Michael_Greenlaw.png
Ned Bellavance | Ned in the Cloud LLC,Autoscaling Workers for Boundary,"February 16, 2023",21:25,input/2023/images/Ned_Bellavance.jpg
Peter ONeill | Styra,Open Policy Agent in Terraform Cloud,"February 16, 2023",23:25,input/2023/images/Peter_ONeill.png
Phuong Le | NashTech Vietnam Company,Hybrid Microservices with HashiCorp Stack,"February 17, 2023",3:35,input/2023/images/Phuong_Le.jpg
Sam Gabrail | TeKanAid Solutions Inc.,Packer and Terraform to Build a Nomad Cluster in vSphere,"February 17, 2023",5:45,input/2023/images/Sam_Gabrail.jpg
Thang Chung | NashTech Vietnam Company,Hybrid Microservices with HashiCorp Stack,"February 17, 2023",3:35,input/2023/images/Thang_Chung.jpg
Welly Siauw | AWS,Validate IAM policy using Terraform Run Tasks,"February 17, 2023",9:25,input/2023/images/Welly_Siauw.png
