speaker,title,date,photo
Master of Ceremonies,Guy Barros,"February 20, 2025 | 12:00-16:00 GMT",input/2025/images/emcees/Guy.jpg
Master of Ceremonies,Kashaf Salaheen,"February 20, 2025 | 16:15-20:15 GMT",input/2025/images/emcees/Kashaf.jpg
Master of Ceremonies,Chris Williams,"February 20, 2025 | 16:15-20:15 GMT",input/2025/images/emcees/Chris.jpg
Master of Ceremonies,Isaac Christian,"February 20-21, 2025 | 20:25-00:25 GMT",input/2025/images/emcees/Isaac.jpg
Master of Ceremonies,Rosemary Wang,"February 20-21, 2025 | 20:25-00:25 GMT",input/2025/images/emcees/Rosemary.png
Master of Ceremonies,Alex Velazquez,"February 21, 2025 | 00:35-4:35 GMT",input/2025/images/emcees/Alex.jpg
Master of Ceremonies,Cole Morrison,"February 21, 2025 | 00:35-4:35 GMT",input/2025/images/emcees/Cole.png
Master of Ceremonies,Kerim Satirli,"February 21, 2025 | 8:55-12:00 GMT",input/2025/images/emcees/kerim.jpeg
Master of Ceremonies,Nasi Chaudhary,"February 21, 2025 | 4:45-8:45 GMT",input/2025/images/emcees/Nasi.jpg
Master of Ceremonies,Wale Salami,"February 21, 2025 | 8:55-12:00 GMT",input/2025/images/emcees/Wale.jpg
Master of Ceremonies,Cami Martins,"February 20, 2025 | 12:00-16:00 GMT",input/2025/images/emcees/Cami.jpeg
Master of Ceremonies,Adit Modi,"February 21, 2025 | 4:45-8:45 GMT",input/2025/images/emcees/Adit.jpg
