speaker,title,date,photo
Yun Liu | Microsoft,Building intelligent Terraform experience in Azure Copilot,"February 21, 2025 | 4:25 GMT",input/2025/images/Yun_Liu.jpg
Jeremy Myers | GM Financial,Stop breaking things and start testing!,"February 20, 2025 | 20:25 GMT",input/2025/images/Jeremy_Myers.jpg
Benjamin Lykins | HashiCorp,Building a homelab with HashiCorp tooling,"February 20, 2025 | 21:55 GMT",input/2025/images/Benjamin_Lykins.jpg
Richard Weerasinghe | Slalom,Fine-tune OpenAi models using HashiCorp Terraform,"February 21, 2025 | 3:35 GMT",input/2025/images/Richard_Weerasinghe.jpg
Elif Samedin,Terraform 1.10: Ephemeral resources & values,"February 21, 2025 | 7:15 GMT",input/2025/images/Elif_Samedin.jpg
Roxane Fischer | Anyshift.io,The do's and dont's: GenAI applied to infrastructure,"February 20, 2025 | 12:35 GMT",input/2025/images/Roxane_Fischer.png
Andre Lopes | Tesla,Building an AWS serverless application with Terraform,"February 20, 2025 | 13:05 GMT",input/2025/images/Andre_Lopes.jpg
Bram Vogelaar,Terraforming your Platform Engineering organisation,"February 20, 2025 | 17:45 GMT",input/2025/images/Bram_Vogelaar.jpg
Peter Horrigan | BCGq,The Vault shift: From storing secrets to securing systems,"February 21, 2025 | 5:45 GMT",input/2025/images/Peter_Horrigan.jpg
Ali Tlili | Arctiq,Unlocking zero trust networking with Consul’s capabilities,"February 20, 2025 | 19:15 GMT",input/2025/images/Ali_Tlili.jpg
Aleksandr Rybolovlev | HashiCorp,Deep dive into the HCP Terraform Operator for Kubernetes,"February 20, 2025 | 16:45 GMT",input/2025/images/Aleksandr_Rybolovlev.jpg
Meghana Sai Vattikuti,Level up your Terraform: Migration in the modern era,"February 20, 2025 | 20:55 GMT",input/2025/images/Meghana_Sai_Vattikuti.jpg
Ned Bellavance | Ned in the Cloud LLC,Deploying Azure landing zones with Terraform Stacks,"February 20, 2025 | 21:25 GMT",input/2025/images/Ned_Bellavance.jpg
Lino Telera | InfoCert,Unlocking multi-cloud potential with HashiCorp Cloud Platform,"February 20, 2025 | 23:25 GMT",input/2025/images/Lino_Telera.png
Peter Horrigan | BCGq,The Vault shift: From storing secrets to securing systems,"February 21, 2025 | 5:45 GMT",input/2025/images/Peter_Horrigan.jpg
Woojae Lee | Woojae Corp,Create architectural diagrams using AI and Terraform,"February 21, 2025 | 1:35 GMT",input/2025/images/Woojae_Lee.jpg
Amit Kumar Jha | HashiCorp,Chaos to control: Manage secret sprawl with Vault Radar,"February 21, 2025 | 3:05 GMT",input/2025/images/Amit_Kumar_Jha.png
Vinodh Shankar | HashiCorp,Elevate operational maturity with unified events correlation,"February 21, 2025 | 8:55 GMT",input/2025/images/Vinodh_Shankar.png
Oumaima Mhiriz | Orange Business,Automating and scaling secrets management with Vault,"February 21, 2025 | 9:55 GMT",input/2025/images/Oumaima_Mhiriz.png
Agata Skorupka | The Scale Factory,Scaling secrets management with Vault: A zero-trust approach,"February 20, 2025 | 18:45 GMT",input/2025/images/Agata_Skorupka.jpg
Ivica Kolenkaš | BESTSELLER,Data & analytics reimagined with Terraform and DevOps principles,"February 21, 2025 | 6:45 GMT",input/2025/images/Ivica_Kolenkas.jpg
Vinit Dhatrak | Docusign,Modernizing storage at DocuSign: Petabytes and beyond,"February 21, 2025 | 5:15 GMT",input/2025/images/Vinit_Dhatrak.jpg
