speaker,title,photo
Albert Tanure,Promovendo entrega contínua com Terraform,input/brasil/images/albert_tanure.jpg
Cami Martins,"CodeBuild, CodePipeline e conteinerizações com Terraform",input/brasil/images/Cami_martins.jpg
Cleber Paiva de Souza,Entrega de ambientes SAP no Azure,input/brasil/images/cleber_paiva_de_souza.jpg
Edson Ferreira,Providers utilitários do Terraform que podem facilitar suas tarefas do dia a dia,input/brasil/images/edson_ferreira.jpg
Jandson Mendes,Iac como transformacão de vida,input/brasil/images/jandson_mendes.jpg
Luiz Bernardo,Gerenciando recursos e ambientes com Terraform,input/brasil/images/luiz_bernardo.jpg
Luiz Gustavo Ferraz Aoqui,DevOps Poliglota: Traduzindo Arquivos de Docker Compose e Kubernetes para o Nomad,input/brasil/images/luiz_gustavo_ferraz_aoqui.jpg
Philippe Sevestre,"Estudo de Caso: Bootstrap de Ambiente AWS usando Terraform, Vault e Gitlab",input/brasil/images/philippe_sevestre.jpg
William Lino Oliveira,Acesso Seguro e Unificado a ambientes de dados com Boundary,input/brasil/images/william_lino_oliveira.jpg
Igor Luiz de Sousa Santos,Obtendo credenciais de banco de dados forma dinâmica com Vault & K8s,input/brasil/images/Igor_Luiz_de_Sousa_Santos.jpeg
