speaker,title,photo
Bram Vogelaar,Terraform Provider; 15-minute meal,input/build/images/Bram_Vogelaar.png
Chloe Cota,Tomorrow can be a wonderful age.,input/build/images/Chloe_Cota.jpg
Derek Strickland,Nomad at the Edge,input/build/images/Derek_Strickland.png
Izaak Lauer,Waypoint: The Missing Abstraction between Devs and Deployments,input/build/images/Izaak_Lauer.jpg
Joseph Rajewski,Waypoint Plugins,input/build/images/Joseph_Rajewski.jpg
Kevin Wang,"Waypoint: Swift, Rust, Deno and more, on Lambda URLs in 60 seconds",input/build/images/Kevin_Wang.jpg
Leon Nunes,Reducing blast radius using terraform,input/build/images/Leon_Nunes.jpg
Luiz Gustavo Ferraz Aoqui,The Polyglot DevOps: Translating Docker Compose and Kubernetes to Nomad,input/build/images/Luiz_Gustavo_Ferraz_Aoqui.jpg
Philip Laine,The opinionated future of managing Kubernetes with Terraform,input/build/images/Philip_Laine.jpg
Scott McAllister,Creating a Connection: Lessons Learned from Inheriting a Terraform Provider,input/build/images/Scott_McAllister.jpg
Serge Smertin,Reaching 3M downloads and 90%+ unit test coverage for a Terraform provider: lessons learned,input/build/images/Serge_Smertin.jpg
Sophia Castellarin,Building Vagrant plugins,input/build/images/Sophia_Castellarin.png
